TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
code	title	core	credits	category	proposingfaculty	curriculum	prereq
CS5008	Reinforcement Learning		3-0-0-3	ERC	Chandra Sekhar Lakshminarayanan		
CS4400	Software Engineering		3-0-0-3	PMT			
EE5009	Nanoelectronics for Circuits and Systems	['msocd']	3-0-0-3	PMT	Revathy Padmanabhan	2020	
CS2013	Systems Programming	['ug']	1-0-3-3	PMC	Piyush P Kurur, Sandeep Chandran & Albert Sunny	2022	
CS5511	Probability Models		3-0-0-3	ERC	Mrinal Kanti Das		
CS3700	Introduction to Database Systems		3-0-0-3	PMT			['CS1100']
CS4502	Convex Optimization	['ug']		PME			
MA2040	Probability Stochastic Process and Statistics	['ug']	3-0-0-3	BST	S.H. Kulkarni, M Ashok Kumar, Arpan Kabiraj	[2017, 2022]	
CS5006	Probabilistic Machine Learning		3-0-0-3	PME	Mrinal Kanti Das		
CS3020	Database Management Systems	['ug']	3-0-0-3	PMT		2017	
CS5509	Embedded Systems Design		1-0-3-3	ERC	Dr. Vivek Chaturvedi		
DS5604	Responsible Artificial Intelligence		3-0-0-3	ERC	Sahely Bhadra		
DS5602	Computer Vision		3-1-0-4	PME	Satyajit Das		
CS3510	Operating Systems Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum	2015	
DS5005	Optimisation		3-0-0-3	PMT			
CS5002	Functional Programming		3-0-0-3	ERC	Piyush P. Kurur		
CS3140	Compiler Design Laboratory	['ug']	0-0-3-2	PMP	Piyush P Kurur & Unnikrishnan C	[2017, 2022]	
DS5102	Big Data Lab		1-0-3-3	PMP			
CS5014	Foundations of Data Science and Machine Learning	['mcam']	3-0-0-3	PMT	Albert Sunny	2020	Probability and Linear Algebra
CS3100	Internship	['ug']	0-0-0-0	CWC		2017	
CS5639	Topics in Networks		1-0-3-3	PME	Anish Hirwe		
CS5633	Model Checking		3-0-2-4	PME	Jasine Babu		
CS4150	Computer Networks Lab	['ug']	3-0-0-3	PMP		2017	
CS4111	Artificial Intelligence Laboratory	['ug']		PML	IIT Madras 2015 Curriculum	2015	
CS4503	Combinatorics		3-0-0-3	PME			['cs2100']
CS5015	Data Engineering		3-0-0-3	PMT			
CS3010	Operating Systems	['ug']	3-0-0-3	PMT	Sandeep Chandran	[2017, 2022]	['CS2600', 'CS2610', 'CS2800']
CS5616	Computational Complexity		3-0-0-3	PME	Jasine Babu		Basic understanding of algorithms
CS5618	Real Time Systems		3-0-0-3	PME	Unnikrishnan C		
CS5010	Graph Theory and Combinatorics	['mcam']	3-0-0-3	PMT	Deepak Rajendraprasad	2020	
CS6004	Logic		3-0-0-3	PME	Piyush P Kurur		
CS2600	Computer Organisation	['ug']		PMT	IIT Madras 2015 Curriculum		
CS2100	Discrete Mathematics for Computer Science		3-0-0-3	PMT			
CS4802	Design and Analysis of Algorithms		3-1-0-4	PME/PME*			['CS2100', 'CS2800']
CS3200	Computer Networks		3-0-0-3	PMT			
GN5000	Communication and Technical Writing Skills	['mcam', 'msocd']	2-0-0-0	IDC	Dr. Reenu Punnoose	2020	
MA5007	Probability and Statistics	['mcam']	4-0-0-4	PST	M Ashok Kumar	2020	
CS3070	Design and Analysis of Algorithms	['ug']	3-1-0-4	PMC	Jasine Babu & Krithika Ramaswamy	2022	['CS2800']
CS5107	Programming Lab	['mcam', 'msocd']	1-0-3-3	PML		2020	
CS5019	Advanced Computer Architecture	['msocd']	3-0-0-3	PMT	Sandeep Chandran & Vivek Chaturvedi	2020	
CS5101	Machine Learning Lab		0-0-3-2	PMP			
DS3010	Machine Learning		3-0-3-5	PME	Sahely Bhadra		
CS4110	Project I	['ug']	0-0-0-3	PMP		2017	
CS3040	Compiler Design	['ug']	3-0-0-3	PMP	Piyush P Kurur & Unnikrishnan C	[2017, 2022]	
CS2111	Foundations of Computing Systems Lab	['ug']	0-0-3-2	PMC	Piyush P Kurur & Sandeep Chandran	2022	
CS2020	Discrete Mathematics for Computer Science	['ug']	3-0-0-3	PMT	Deepak Rajendraprasad	2017	['CS2100']
CS2610	Computer Organisation Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum		
CS6001	Topics in Graph Theory		3-0-0-3	PME	Jasine Babu & Deepak Rajendraprasad		
CS4010	Computer Networks	['ug']	3-0-0-3	PMT		2017	
CS5619	Synthesis of Digital Systems		3-0-0-3	PME	Sandeep Chandran		
ID1110	Introduction to Programming	['ug']	2-0-3-4	IC	Mrinal Kanti Das &Albert Sunny	2022	
CS2060	Computer Organisation	['ug']	3-0-0-3	PMT		2017	
CS2200	Languages, Machines and Computation		3-1-0-4	PMT			
CS3300	Language Translators	['ug']		PMT	IIT Madras 2015 Curriculum		
