INTEGER	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
year	semester	room	faculty1	faculty2	faculty3	faculty4	name	code	slot
2019	July-Dec		Sahely				Data Structures and Algorithms	CS2030	
2019	July-Dec		Sahely	Krithika Ramaswamy			Data Structures and Algorithms Laboratory	CS2130	
2019	July-Dec		Sandeep				Operating Systems	CS3010	
2019	July-Dec		Sandeep	Jasine Babu			Operating Systems Laboratory	CS3110	
2019	July-Dec		Piyush				Paradigms of Programming	CS3030	
2019	July-Dec		Piyush	Unnikrishnan Cheramangalathheramangalath			Paradigms of Programming Laboratory	CS3130	
2019	July-Dec		Deepak				Theory of Computation	CS3050	
2019	July-Dec		Albert				Computer Networks	CS4010	
2019	July-Dec		Albert				Computer Networks Laboratory	CS4150	
2019	July-Dec		Vivek				Advanced Computer Architecture	CS4505	
2019	July-Dec		Krithika				Parameterized Algorithms	CS5003	
2019	July-Dec		Mrinal				Deep Learning	CS5007	
2019	July-Dec		Chandra Shekar				Reinforcement Learning	CS5008	
2019	July-Dec		Mrinal				Probability Models	CS5511	
2019	July-Dec		Satyajit				Embedded Systems	CS5509	
2019	July-Dec		Unnikrishnan				Compiler Optimization and Program Analysis	CS5510	
2019	July-Dec		All CSE Faculty				Project Phase 1	CS4110	
2019	July-Dec		Sahely				Machine Learning	CS5512	
2020	Jan-May		Albert	Sandeep Chandran			Introduction to Programming	CS1020	
2020	Jan-May		Jasine				Discrete Mathematics for Computer Science	CS2020	
2020	Jan-May		Krithika				Design and Analysis of Algorithms	CS2040	
2020	Jan-May		Vivek				Computer Organisation	CS2060	
2020	Jan-May		Vivek				Computer Organisation Laboratory	CS2160	
2020	Jan-May		Chandra Shekar				Artificial Intelligence	CS2080	
2020	Jan-May		Chandra Shekar	Krithika Ramaswamy			Artificial Intelligence Laboratory	CS2180	
2020	Jan-May		Mrinal				Database Management Systems	CS3020	
2020	Jan-May		Sahely	Mrinal Das			Database Management Systems Laboratory	CS3120	
2020	Jan-May		Unnikrishnan				Compiler Design	CS3040	
2020	Jan-May		Unnikrishnan	Piyush P Kurur			Compiler Design Laboratory	CS3140	
2020	Jan-May		Deepak				Combinatorics	CS4503	
2020	Jan-May		Piyush				Functional Programming	CS5002	
2020	Jan-May		Sahely				Machine Learning	CS5512	
2020	Jan-May		Satyajit				Cryptography	CS5613	
2020	Jan-May		All CSE Faculty				Project Phase 2	CS4120	
2020	Jul-Dec		Krithika				Logic for Computing	CS2010	
2020	Jul-Dec		Unnikrishnan				Data Structures and Algorithms	CS2030	
2020	Jul-Dec		Unnikrishnan	Chandra Sekhar Lakshminarayanan			Data Structures and Algorithms Laboratory	CS2130	
2020	Jul-Dec		Sandeep				Operating Systems	CS3010	
2020	Jul-Dec		Sandeep	Satyajit Das			Operating Systems Laboratory	CS3110	
2020	Jul-Dec		Piyush				Paradigms of Programming	CS3030	
2020	Jul-Dec		Piyush				Paradigms of Programming Laboratory	CS3130	
2020	Jul-Dec		Deepak				Theory of Computation	CS3050	
2020	Jul-Dec		Albert				Computer Networks	CS4010	
2020	Jul-Dec		Albert				Computer Networks Laboratory	CS4150	
2020	Jul-Dec		Jasine				Algorithms	CS5009	
2020	Jul-Dec		Krithika				Topics in Discrete Mathematics	CS5013	
2020	Jul-Dec		Deepak				Theory of Computation	CS5017	
2020	Jul-Dec		Vivek				Advanced Computer Architecture	CS5019	
2020	Jul-Dec		Vivek				Advanced Computer Architecture Lab	CS5119	
2020	Jul-Dec		Chandra Shekar				Optimisation for Machine Learning	CS5011	
2020	Jul-Dec		Unnikrishnan				Parallel Programming	CS5005	
2020	Jul-Dec		Sahely				Machine Learning	CS5512	
2020	Jul-Dec		Sahely				Machine Learning Lab	CS5101	
2020	Jul-Dec		Jasine				Approximation Algorithms	CS5004	
2020	Jul-Dec		Mrinal				Data Engineering	CS5015	
2020	Jul-Dec		Mrinal				Data Engineering Lab	CS5103	
2020	Jul-Dec		Satyajit				Big Data Analytics	CS5104	
2020	Jul-Dec		Albert	Sandeep Chandran	Vivek Chaturvedi		Programming Lab	CS5107	
2020	Jul-Dec		Ramaswamy				Software Engineering	CS5617	
2020	Jul-Dec		All CSE Faculty				Project Phase 1	CS4110	
2021	Jan-May		Albert	Sandeep Chandran			Introduction to Programming	CS1020	
2021	Jan-May		Deepak	Krithika Ramaswamy			Discrete Mathematics for Computer Science	CS2020	
2021	Jan-May		Jasine				Design and Analysis of Algorithms	CS2040	
2021	Jan-May		Vivek				Computer Organisation	CS2060	
2021	Jan-May		Vivek, Sandeep				Computer Organisation Laboratory	CS2160	
2021	Jan-May		Chandra Shekar				Artificial Intelligence	CS2080	
2021	Jan-May		Chandra Shekar				Artificial Intelligence Laboratory	CS2180	
2021	Jan-May		Sahely				Database Management Systems	CS3020	
2021	Jan-May		Mrinal				Database Management Systems Laboratory	CS3120	
2021	Jan-May		Piyush				Compiler Design	CS3040	
