TEXT	TEXT	DATE	LIST(TEXT)	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	INTEGER	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
Code	Title	Last Modified	Core	CoreMSOCD	CoreMCAM	CoreUG	Credits	Category	Proposing faculty	Proposing faculty 2	Proposing faculty 3	Curriculum	Senate approved on	Show	Prerequisites	Status	Prerevision code	Dual code	Revision info	Faculty
ID1110	Introduction to Programming	2023/05/31	[ug]	No	No	Yes	2-0-3-4	IC	Mrinal Das	Albert Sunny		2022	20	TRUE		NEW	CS1020			
CS1020	Introduction to Programming		[ug]	No	No	Yes	2-0-3-4	BET				2017		TRUE		old				
MA5001	Linear Algebra		[mcam]	No	Yes	No	4-0-0-4	PST	Lakshmi Sankar			2020	11	TRUE						math
CS2010	Logic for Computing		[ug]	No	No	Yes	3-0-0-3	PMT	Deepak Rajendraprasad			2017	6	TRUE		NEW				
EE5009	Nanoelectronics for Circuits and Systems		[msocd]	Yes	No	No	3-0-0-3	PMT	Revathy Padmanabhan			2020	11	TRUE						ee
CS3010	Operating Systems	2023/05/31	[ug]	No	No	Yes	3-0-0-3	PMT	Sandeep Chandran			[2017, 2022]	20	TRUE		revised				
CS3110	Operating Systems Lab	2023/05/31	[ug]	No	No	Yes	0-0-3-3	PMC	Sandeep Chandran			[2017, 2022]	20	TRUE	Operating Systems (Prerequisites/ Corequisites)	revised			CS3110 Operating Systems Lab	
CS3030	Paradigms of Programming		[ug]	No	No	Yes	3-0-0-3	PMT				2017	6	TRUE						
CS3130	Paradigms of Programming Lab	2023/05/31	[ug]	No	No	Yes	2-0-0-2	PMP				2017	6	TRUE						
MA5007	Probability and Statistics		[mcam]	No	Yes	No	4-0-0-4	PST	M Ashok Kumar			2020	11	TRUE						math
MA2040	Probability Stochastic Process and Statistics		[ug]	No	No	Yes	3-0-0-3	BST	S H Kulkarni	M Ashok Kumar	Arpan Kabiraj	[2017, 2022]		TRUE						math
HS2000	Professional Ethics		[ug]	No	No	Yes	0-0-2-2	IDC				2017	6	TRUE						hs
CS5107	Programming Lab		[mcam,msocd]	Yes	Yes	No	1-0-3-3	PML	Unnikrishnan Cheramangalath			2020	18	TRUE					Same course as in M.Tech in SoCD	
CS4110	Project I		[ug]	No	No	Yes	0-0-0-3	PMP				2017	6	TRUE						
CS4120	Project II		[ug]	No	No	Yes	0-0-0-7	PMP				2017	6	TRUE						
CS5120	SoC Design Lab		[msocd]	Yes	No	No	1-0-3-3	PMP				2020		TRUE						
CS2013	Systems Programming	2023/05/31	[ug]	No	No	Yes	1-0-3-3	PMC	Piyush P Kurur	Sandeep Chandran	Albert Sunny	2022	20	TRUE	Introduction to Programming or Programming background which will be assessed by an entry test 	NEW				
CS3050	Theory of Computation	2023/05/31	[ug]	No	No	Yes	3-1-0-4	PMC	Deepak Rajendraprasad			[2017, 2022]	20	TRUE	Discrete Mathematics	revised			Existing Course : Theory of Computation CS3050 (B.Tech, CSE) and CS5017 (MCaM)	
CS5017	Theory of Computation	2023/05/31	[mcam]	No	Yes	No	3-1-0-4	PMT	Deepak Rajendraprasad			2020	11	TRUE					The syllabus of this course is the same as that of fifth semester B.Tech CS course CS3050. The examination and evaluation pattern of the two courses may differ.	
CS5013	Topics in Discrete Mathematics	2023/05/31	[mcam]	No	Yes	No	3-0-0-3	PMT	Jasine Babu			2020	11	TRUE		NEW				
EE5011	VLSI Design		[msocd]	Yes	No	No	3-0-2-4	PMT	Subrahmanyam Mula			2020	11	TRUE						ee
CS1100	Computational Engineering		[ug]	No	No	Yes		BET	IIT Madras 2015 Curriculum					FALSE		Old				
CS2110	Computer Programming Laboratory		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS2600	Computer Organisation		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS2610	Computer Organisation Laboratory		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS3300	Language Translators		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS3310	Language Translators Laboratory		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS3510	Operating Systems Laboratory		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS2810	Data Structures and Algorithms lab		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS3710	Database Systems Laboratory		[ug]	No	No	Yes		PMT	IIT Madras 2015 Curriculum					FALSE						
CS4111	Artificial Intelligence Laboratory		[ug]	No	No	Yes		PML	IIT Madras 2015 Curriculum					FALSE						
